job_url,site,title,company,company_url,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,num_urgent_words,benefits,emails,description
https://www.linkedin.com/jobs/view/3824108719,linkedin,Windows Systems Administrator,AmeriCo. Group,https://www.linkedin.com/company/americo-group,"New York, NY",,2024-02-12,,,,,,,,,
https://www.linkedin.com/jobs/view/3810558699,linkedin,Server Administrator,Tillys,https://www.linkedin.com/company/tillys,"Irvine, CA",,2024-02-10,,,,,,,,,
https://www.linkedin.com/jobs/view/3792635249,linkedin,JR Systems Administrator,Alexander Technology Group,https://www.linkedin.com/company/alexander-technology-group,"Andover, MA",,2024-02-09,,,,,,,,,
https://www.linkedin.com/jobs/view/3826516538,linkedin,Windows System Administrator,Alexander Technology Group,https://www.linkedin.com/company/alexander-technology-group,"Londonderry, NH",,2024-02-09,,,,,,,,,
https://www.linkedin.com/jobs/view/3809266855,linkedin,Systems Administrator,Proven Recruiting,https://www.linkedin.com/company/proven-recruiting,"Boston, MA",,2024-02-08,,,,,,,,,
https://www.linkedin.com/jobs/view/3796925526,linkedin,Windows Administrator,SPECTRAFORCE,https://www.linkedin.com/company/spectraforce,,,2024-02-08,,,,,,,,,
https://www.linkedin.com/jobs/view/3819457856,linkedin,Windows Administrator,Cynet Systems,https://www.linkedin.com/company/cynet-systems,"Miami, FL",,2024-02-06,,,,,,,,,
https://www.linkedin.com/jobs/view/3818800294,linkedin,System Administrator - NYC,"Georgia IT, Inc.",https://www.linkedin.com/company/georgia-it-inc-,"New York, NY",,2024-02-05,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3818397583,linkedin,System Administrator - NYC,"Georgia IT, Inc.",https://www.linkedin.com/company/georgia-it-inc-,"New York, NY",,2024-02-05,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3823040022,linkedin,System Administrator,The Phoenix Group,https://www.linkedin.com/company/the-phoenix-group_3,"New York, NY",,2024-02-05,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3753084158,linkedin,System Admin I,City Experiences,https://www.linkedin.com/company/cityexperiences,"New York, NY",,2024-02-01,,,,,,,,,
https://www.linkedin.com/jobs/view/3753084485,linkedin,System Admin I,Hornblower Group,https://www.linkedin.com/company/hornblower-group,"New York, NY",,2024-02-01,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3817642775,linkedin,Senior Windows Administrator,HireKeyz Inc,https://www.linkedin.com/company/hire-keyz,,,2024-01-31,,,,,,,,,
https://www.linkedin.com/jobs/view/3784041797,linkedin,System Administrator,The Phoenix Group,https://www.linkedin.com/company/the-phoenix-group_3,,,2024-01-26,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3810102074,linkedin,System Administrator,Hirewell,https://www.linkedin.com/company/hirewell,"Rosemont, IL",,2024-01-24,,,,,,,,,
https://www.linkedin.com/jobs/view/3800992441,linkedin,Windows System Administrator,Steneral Consulting,https://www.linkedin.com/company/steneral-consulting,"New York, NY",,2024-01-09,,,,,,,,,
https://www.linkedin.com/jobs/view/3816910431,linkedin,(Full-Time) System Administrator (Hybrid),A2Zxperts,https://www.linkedin.com/company/a2zxperts,"New York, NY",,2024-01-05,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3764697783,linkedin,DEPUTY DIRECTOR OF EMPLOYEE MANAGEMENT AND ADMINISTRATIVE SE,NYC Department of Social Services,https://www.linkedin.com/company/nyc-department-of-social-services,"Manhattan, NY",,2023-12-21,,,,,,,,,
https://www.linkedin.com/jobs/view/3789676558,linkedin,Senior Systems Administrator,PsychoGenics,https://www.linkedin.com/company/psychogenicsinc,"Paramus, NJ",,2023-12-18,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3756940661,linkedin,Systems Administrator,McLaren Engineering Group,https://www.linkedin.com/company/mclaren-engineering-group,"Woodcliff Lake, NJ",,2023-11-02,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3745551114,linkedin,Systems Administrator,Accroid Inc,https://www.linkedin.com/company/accroid-inc,"New York, NY",,2023-10-24,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3736306471,linkedin,System Administrator,City of New York,https://www.linkedin.com/company/city-of-new-york,"Bronx, NY",,2023-09-28,,,,,,,,,
https://www.linkedin.com/jobs/view/3697374348,linkedin,IT System Administrator,Bowman Williams,https://www.linkedin.com/company/bowman-williams,"Manhattan, NY",,2023-08-22,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3677836201,linkedin,IT System Administrator (Mid Level),Bowman Williams,https://www.linkedin.com/company/bowman-williams,"New York, NY",,2023-07-03,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3616367112,linkedin,Junior Systems Administrator,Bowman Williams,https://www.linkedin.com/company/bowman-williams,"New York, NY",,2023-05-01,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3616360177,linkedin,Junior Windows Systems Administrator,Bowman Williams,https://www.linkedin.com/company/bowman-williams,"New York, NY",,2023-05-01,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3590488754,linkedin,IT System Administrator,Bowman Williams,https://www.linkedin.com/company/bowman-williams,"Plainfield, NJ",,2023-04-05,,,,,,,Actively Hiring,,
https://www.ziprecruiter.com/jobs//j?lvk=0s67kNlEejYrhPbqyuaVlA,zip_recruiter,Solution Architect,eTeam Inc,,"New Jersey, NB, Canada",,2022-11-01,,,,,,0.0,,,"... Policy 
Admin
 System. Expert generalist across all dimensions of IT Software Development ... 
Server
, NoSQL). Know-how about TDD (test driven design), unit testing and automated testing ..."
