job_url,site,title,company,company_url,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,num_urgent_words,benefits,emails,description
https://www.linkedin.com/jobs/view/3827631421,linkedin,Systems Engineer - OT,Matchtech,https://uk.linkedin.com/company/matchtech,"Cheshire, England, UK",,2024-02-11,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3827630523,linkedin,OT Cyber Security Engineer / Architect,Matchtech,https://uk.linkedin.com/company/matchtech,"Cheshire, England, UK",,2024-02-11,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3809438751,linkedin,Information Technology Manager,ShortList Recruitment Limited,https://uk.linkedin.com/company/shortlist-recruitment-limited,"Wirral, England, UK",,2024-02-09,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3816141066,linkedin,System Engineer,Digital Waffle,https://uk.linkedin.com/company/digitalwaffle,"Merseyside, England, UK",,2024-02-02,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3717696463,linkedin,Electrical Engineer - Power Networks,GHD,https://au.linkedin.com/company/ghd,"Chester, England, UK",,2024-01-31,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3717698362,linkedin,Power Systems Engineer - Water Energy Nexus,GHD,https://au.linkedin.com/company/ghd,"Chester, England, UK",,2024-01-31,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3814703943,linkedin,Fire and Security Engineer,Blakewater Recruitment,https://uk.linkedin.com/company/blakewater-recruitment,"Heswall, England, UK",,2024-01-31,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3718200255,linkedin,Power Networks Engineer - Offshore Wind,GHD,https://au.linkedin.com/company/ghd,"Chester, England, UK",,2024-01-31,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3813629551,linkedin,System Engineer,Digital Waffle,https://uk.linkedin.com/company/digitalwaffle,"Chester, England, UK",,2024-01-30,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3816790373,linkedin,Systems Engineer (DCS),Energy Jobline,https://uk.linkedin.com/company/energy-jobline,"Runcorn, England, UK",,2024-01-30,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3816793336,linkedin,Fire and Security Engineer,Blakewater Recruitment,https://uk.linkedin.com/company/blakewater-recruitment,"Merseyside, England, UK",,2024-01-30,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3813631240,linkedin,System Engineer,Digital Waffle,https://uk.linkedin.com/company/digitalwaffle,"Merseyside, England, UK",,2024-01-30,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3815031694,linkedin,Senior Data Cabling Engineer,Material TAT,https://nl.linkedin.com/company/material-tat,"Cheshire, England, UK",,2024-01-26,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3815028843,linkedin,Cyber Security Engineer - OT,Matchtech,https://uk.linkedin.com/company/matchtech,"Cheshire, England, UK",,2024-01-25,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3809658542,linkedin,Network Engineer,INSPYR Solutions,https://www.linkedin.com/company/inspyrsolutions,"Washington, DC",,2024-01-24,,,,,,,,,
https://www.linkedin.com/jobs/view/3809088315,linkedin,Network Engineer,Ascendion,https://www.linkedin.com/company/ascendion,"Denver, CO",,2024-01-24,,,,,,,,,
https://www.linkedin.com/jobs/view/3809022633,linkedin,Network Engineer,Ascendion,https://www.linkedin.com/company/ascendion,"Denver, CO",,2024-01-23,,,,,,,,,
https://www.linkedin.com/jobs/view/3812231318,linkedin,Network Engineer,eNGINE,https://www.linkedin.com/company/enginehires,,,2024-01-23,,,,,,,,,
https://www.linkedin.com/jobs/view/3811420149,linkedin,Network Engineer,Salt,https://uk.linkedin.com/company/salt,"Greenville-Spartanburg-Anderson, South Carolina Area",,2024-01-22,,,,,,,,,
https://www.linkedin.com/jobs/view/3829386232,linkedin,Systems Engineer (DCS),Capio Spine Center Stockholm,https://se.linkedin.com/company/stockholm-spine-center,"Runcorn, England, UK",,2024-01-19,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3809421548,linkedin,Junior Network Engineer,AFTRA Retirement Fund,https://www.linkedin.com/company/aftra-retirement-fund,"New York, NY",,2024-01-19,,,,,,,,,
https://www.linkedin.com/jobs/view/3809424375,linkedin,Network Engineer,System Soft Technologies,https://www.linkedin.com/company/systemsofttech,"Columbia, South Carolina Metropolitan Area",,2024-01-19,,,,,,,,,
https://www.linkedin.com/jobs/view/3809538270,linkedin,Network Engineer,Hexaware Technologies,https://in.linkedin.com/company/hexaware-technologies,"Chicago, IL",,2024-01-18,,,,,,,,,
https://www.linkedin.com/jobs/view/3803086696,linkedin,Network Engineer,LTIMindtree,https://in.linkedin.com/company/ltimindtree,"Bellevue, WA",,2024-01-16,,,,,,,,,
https://www.linkedin.com/jobs/view/3788646156,linkedin,Electronic Security Engineer - Installation,Huntech - Engineering & B2B Sales Recruitment Consultancy,https://uk.linkedin.com/company/huntech-limited,"Merseyside, England, UK",,2023-12-20,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3788648099,linkedin,Fire And Security Engineer,Huntech - Engineering & B2B Sales Recruitment Consultancy,https://uk.linkedin.com/company/huntech-limited,"Merseyside, England, UK",,2023-12-20,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3803897405,linkedin,System Engineer,Mercury Hampton,https://uk.linkedin.com/company/mercury-hampton-ltd,"Runcorn, England, UK",,2023-12-19,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3776812225,linkedin,Cabling Engineer,Energy Jobline,https://uk.linkedin.com/company/energy-jobline,"Widnes, England, UK",,2023-12-02,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3737347097,linkedin,Battery Management System Engineer,IBU Consulting,https://uk.linkedin.com/company/ibuconsulting,"Crewe, England, UK",,2023-10-13,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3826752152,linkedin,System Engineer,RemoteWorker UK,https://uk.linkedin.com/company/remoteworkeruk,"Runcorn, England, UK",,,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3828188234,linkedin,Software Engineer,Recann,https://uk.linkedin.com/company/recann,"Cheshire, England, UK",,2024-02-12,,28000.0,38000.0,£,,,,,
https://www.linkedin.com/jobs/view/3828118863,linkedin,Principal Software Engineer,Iceland Foods,https://uk.linkedin.com/company/iceland-foods,"Deeside, Wales, UK",,2024-02-12,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3824107974,linkedin,Python Software Engineer,Zimmer Biomet,https://www.linkedin.com/company/zimmerbiomet,"Chester, England, UK",,2024-02-07,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3823600350,linkedin,Principal Software Engineer,Searchability®,https://uk.linkedin.com/company/searchability,"Cheshire, England, UK",,2024-02-06,,65000.0,70000.0,£,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3822846427,linkedin,Embedded Software Engineer,ALTEN LTD - UK,https://uk.linkedin.com/company/alten-uk,"Crewe, England, UK",,2024-02-05,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3822270883,linkedin,Software Engineer,Dexter Talent,https://uk.linkedin.com/company/dexter-talent,"Liverpool, England, UK",,2024-02-05,,35000.0,50000.0,£,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3822060077,linkedin,Engineer (P-way/Civils),Energy Jobline,https://uk.linkedin.com/company/energy-jobline,"Crewe, England, UK",,2024-02-04,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3821740284,linkedin,Electrical Control System Design Engineer,Energy Jobline,https://uk.linkedin.com/company/energy-jobline,"Widnes, England, UK",,2024-02-03,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3789477266,linkedin,Control Systems Software Engineer,Urenco Global,https://uk.linkedin.com/company/urenco-global,"Capenhurst, England, UK",,2024-02-03,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3820802233,linkedin,Motor Engineer (Desktop),Steinmann Klinik,https://www.linkedin.com/company/steinmann-klinik,"Liverpool, England, UK",,2024-02-02,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3805251551,linkedin,Software Engineer,D33P Search Group,https://uk.linkedin.com/company/d33p-search-group,"Chester, England, UK",,2024-02-02,,40000.0,60000.0,£,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3818119244,linkedin,Software Engineer,Searchability®,https://uk.linkedin.com/company/searchability,"Liverpool, England, UK",,2024-02-01,,45000.0,50000.0,£,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3717694981,linkedin,Chemical Engineer - Transaction Advisory,GHD,https://au.linkedin.com/company/ghd,"Chester, England, UK",,2024-01-31,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3803737392,linkedin,Electrical Engineer,Tata Technologies,https://in.linkedin.com/company/tata-technologies,"Chester, England, UK",,2024-01-31,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3717695841,linkedin,Electrical Engineer - Offshore Wind,GHD,https://au.linkedin.com/company/ghd,"Chester, England, UK",,2024-01-31,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3816754699,linkedin,Software Engineer C#,Langham Recruitment,https://uk.linkedin.com/company/langham-recruitment,"Cheshire, England, UK",,2024-01-30,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3796130045,linkedin,Embedded Software Engineer,KO2 Embedded Recruitment Solutions Ltd,https://uk.linkedin.com/company/ko2-embedded-recruitment-solutions-ltd,"Chester, England, UK",,2024-01-30,,50000.0,60000.0,£,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3812380718,linkedin,Desktop Motor Engineer,Steinmann Klinik,https://www.linkedin.com/company/steinmann-klinik,"Liverpool, England, UK",,2024-01-23,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3808515839,linkedin,Software Engineer,Maxwell Bond®,https://uk.linkedin.com/company/maxwell-bond,"Liverpool, England, UK",,2024-01-18,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3808592881,linkedin,"Engineer - Mechatronic Systems in Crewe, UK",Energy Jobline,https://uk.linkedin.com/company/energy-jobline,"Crewe, England, UK",,2024-01-18,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3807164672,linkedin,Software Developer/Engineer,DIB BVBA Heliowatt,https://be.linkedin.com/company/dib-bvba-heliowatt,"Northwich, England, UK",,2024-01-17,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3803889581,linkedin,Software Engineer,Saftronics Limited,https://uk.linkedin.com/company/saftronics-limited,"Cheshire, England, UK",,2024-01-12,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3804371799,linkedin,Software V&V Engineer,Epredia,https://www.linkedin.com/company/epredia,"Runcorn, England, UK",,2024-01-12,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3803889903,linkedin,C# Software Engineer,Adria Solutions Ltd,https://uk.linkedin.com/company/adria-solutions-ltd,"Cheshire, England, UK",,2024-01-11,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3818764209,linkedin,Senior Embedded Software Engineer,Marcus Webb Associates Limited,https://uk.linkedin.com/company/marcus-webb-associates-limited,"Wrexham, Wales, UK",,2024-01-06,,45000.0,55000.0,£,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3816933542,linkedin,Vehicle Dynamics Testing Engineer (Embedded System Engineer),IBU Consulting,https://uk.linkedin.com/company/ibuconsulting,"Crewe, England, UK",,2024-01-05,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3811701303,linkedin,Embedded Software Engineer,ALTEN,https://fr.linkedin.com/company/alten,"Crewe, England, UK",,2024-01-05,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3830019599,linkedin,Software Engineer,Premier Group Recruitment,https://uk.linkedin.com/company/premier-group-recruitment,,,,,45000.0,50000.0,£,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3829891214,linkedin,Software Engineer (.Net 8 / Azure),Amber Resourcing,https://uk.linkedin.com/company/amber-resourcing,"Cheshire, England, UK",,,,48000.0,51000.0,£,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3829893936,linkedin,Senior Software Engineer - C++ UK (3546),GBG Plc,https://uk.linkedin.com/company/gb-group,"Chester, England, UK",,,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3827882269,linkedin,Senior Software Engineer,hackajob,https://uk.linkedin.com/company/hackajob,"Chester, England, UK",,2024-02-12,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3826684660,linkedin,Senior Bridge Engineer,Calibre Search,https://uk.linkedin.com/company/calibre-search,"Merseyside, England, UK",,2024-02-09,,38000.0,48000.0,£,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3824831054,linkedin,Senior Software Engineer (C#),Langham Recruitment,https://uk.linkedin.com/company/langham-recruitment,"Runcorn, England, UK",,2024-02-08,,50000.0,65000.0,£,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3821022560,linkedin,Senior Software Engineer,hackajob,https://uk.linkedin.com/company/hackajob,"Chester, England, UK",,2024-02-08,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3825183497,linkedin,Senior Software Engineer,Pathfinder - IT Recruitment,https://uk.linkedin.com/company/itistheway,"Nantwich, England, UK",,2024-02-07,,55000.0,60000.0,£,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3789477266,linkedin,Control Systems Software Engineer,Urenco Global,https://uk.linkedin.com/company/urenco-global,"Capenhurst, England, UK",,2024-02-03,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3509896102,linkedin,Junior Network Engineer,Epic,https://www.linkedin.com/company/epic1979,"Broken Arrow, OK",,2024-02-03,,,,,,,,,
https://www.linkedin.com/jobs/view/3785694962,linkedin,"Software Engineer In Test (Unreal Engine, C++) (12m FTC)",Sony Interactive Entertainment,https://www.linkedin.com/company/sony-interactive-entertainment-llc,"Liverpool, England, UK",,2024-02-03,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3820512844,linkedin,Applications Software Engineer,Austin Vita,https://uk.linkedin.com/company/austin-vita,"Chester, England, UK",,2024-02-02,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3820802233,linkedin,Motor Engineer (Desktop),Steinmann Klinik,https://www.linkedin.com/company/steinmann-klinik,"Liverpool, England, UK",,2024-02-02,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3820524961,linkedin,Software Engineer - Full Stack Developer,Austin Vita,https://uk.linkedin.com/company/austin-vita,"Chester, England, UK",,2024-02-02,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3718200260,linkedin,Civil/Structural Engineer - FEED Fuel Switching,GHD,https://au.linkedin.com/company/ghd,"Chester, England, UK",,2024-01-31,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3717696475,linkedin,Mechanical Engineer - Grid Stability & Operability,GHD,https://au.linkedin.com/company/ghd,"Chester, England, UK",,2024-01-31,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3815598791,linkedin,Mechanical Engineer,Calibre Search,https://uk.linkedin.com/company/calibre-search,"Merseyside, England, UK",,2024-01-26,,32000.0,42000.0,£,,,Be an early applicant,,
