job_url,site,title,company,company_url,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,num_urgent_words,benefits,emails,description
https://www.linkedin.com/jobs/view/3829096561,linkedin,"Insights and Scale Business Analyst, Google Cloud",Google,https://www.linkedin.com/company/google,"Atlanta, GA",,2024-02-13,,,,,,,,,
https://www.linkedin.com/jobs/view/3829095696,linkedin,"Insights and Scale Business Analyst, Google Cloud",Google,https://www.linkedin.com/company/google,"Chicago, IL",,2024-02-13,,,,,,,,,
https://www.linkedin.com/jobs/view/3802626562,linkedin,Performance Analyst,"TPG Staffing, LLC",https://www.linkedin.com/company/tpg-staffing-llc,"Edison, NJ",,2024-02-10,,,,,,,,,
https://www.linkedin.com/jobs/view/3821062868,linkedin,Performance Analyst,BH,https://www.linkedin.com/company/liveatbh,"Dallas, TX",,2024-02-08,,,,,,,,,
https://www.linkedin.com/jobs/view/3804267170,linkedin,Senior CRM Performance Analyst,Expedia Group,https://www.linkedin.com/company/expedia,"Austin, TX",,2024-02-02,,,,,,,,,
https://www.linkedin.com/jobs/view/3728061041,linkedin,"Staff Data Analyst, Operations Analytics",Upstart,https://www.linkedin.com/company/upstart-network,,,2024-02-01,,,,,,,,,
https://www.linkedin.com/jobs/view/3825046671,linkedin,Business Analyst Trainee,ITonlinelearning Recruitment,https://uk.linkedin.com/company/itonlinelearning-recruitment,"Glasgow, Scotland, UK",,2024-02-01,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3816796395,linkedin,Performance Analyst,Waystar,https://www.linkedin.com/company/waystar,"Salt Lake City, UT",,2024-01-30,,,,,,,,,
https://www.linkedin.com/jobs/view/3813139309,linkedin,Business Analyst,The Scottish Government,https://uk.linkedin.com/company/thescottishgovernment,"Glasgow, Scotland, UK",,2024-01-29,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3809627281,linkedin,Business Analyst I,Thermo Fisher Scientific,https://www.linkedin.com/company/thermo-fisher-scientific,"Paisley, Scotland, UK",,2024-01-28,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3809695221,linkedin,Senior Performance Analyst,Robert Half,https://www.linkedin.com/company/robert-half-international,"Santa Monica, CA",,2024-01-24,,,,,,,,,
https://www.linkedin.com/jobs/view/3816336140,linkedin,Cyber Operations Analyst,Hays,https://uk.linkedin.com/company/hays,"Glasgow, Scotland, UK",,2024-01-05,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3780709352,linkedin,"BUSINESS ANALYST - DUBAI, UAE",Cobblestone Energy,https://ae.linkedin.com/company/cobblestone-energy,"Glasgow, Scotland, UK",,2023-12-08,,,,,,,,,
https://www.linkedin.com/jobs/view/3830160427,linkedin,Business / Data Analyst,Steneral Consulting,https://www.linkedin.com/company/steneral-consulting,"Boston, MA",,,,,,,,,,,
https://www.linkedin.com/jobs/view/3830061255,linkedin,Operations Analyst/Associates,Resource Solutions,https://uk.linkedin.com/company/resource-solutions,"Glasgow, Scotland, UK",,,,,,,,,Actively Hiring,,
