job_url,site,title,company,company_url,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,num_urgent_words,benefits,emails,description
https://www.linkedin.com/jobs/view/3826213419,linkedin,Senior Business Analyst,William Hill,https://uk.linkedin.com/company/william-hill,"Leeds, England, UK",,2024-02-13,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3825515802,linkedin,Senior/Lead Business Analyst,Next,https://uk.linkedin.com/company/lifeatnext,"Pontefract, England, UK",,2024-02-13,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3824786866,linkedin,Senior Business Analyst,Jet2.com and Jet2holidays,https://uk.linkedin.com/company/jet2,"Leeds, England, UK",,2024-02-12,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3828147091,linkedin,Business Analyst,SPG Resourcing,https://uk.linkedin.com/company/spg-resourcing,"Leeds, England, UK",,2024-02-12,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3826389030,linkedin,Business Analyst,Toshiba Global Commerce Solutions,https://www.linkedin.com/company/toshibacommerce,"Leeds, England, UK",,2024-02-09,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3826602984,linkedin,Business Analyst,Toshiba Europe Ltd,https://uk.linkedin.com/company/toshibaemea,"Leeds, England, UK",,2024-02-09,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3821023925,linkedin,Sr. Business Analyst - Strategy & Analytics,Cartesian,https://uk.linkedin.com/company/cartesian,"Boston, MA",,2024-02-08,,,,,,,,,
https://www.linkedin.com/jobs/view/3824109835,linkedin,Junior Business Analyst,Gallagher,https://www.linkedin.com/company/gallagher-global,"Wakefield, England, UK",,2024-02-07,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3822405356,linkedin,Senior Business Analyst,The Airedale Group,https://uk.linkedin.com/company/airedale-group,"Bradford, England, UK",,2024-02-05,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3822006152,linkedin,Lead Business Analyst,FMG,https://uk.linkedin.com/company/fmg_68828,"Huddersfield, England, UK",,2024-02-03,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3820937425,linkedin,Business Analyst,Burnley Football Club,https://uk.linkedin.com/company/burnleyofficial,"Burnley, England, UK",,2024-02-02,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3820304108,linkedin,Business Analyst,Sky,https://uk.linkedin.com/company/sky,"Leeds, England, UK",,2024-02-02,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3820687257,linkedin,Business Analyst Trainee,ITonlinelearning Recruitment,https://uk.linkedin.com/company/itonlinelearning-recruitment,"Leeds, England, UK",,2024-02-02,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3815657394,linkedin,Senior Business Analyst,Sky,https://uk.linkedin.com/company/sky,"Leeds, England, UK",,2024-02-02,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3818444507,linkedin,Business Analyst,FMG,https://uk.linkedin.com/company/fmg_68828,"Huddersfield, England, UK",,2024-02-01,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3816246725,linkedin,Senior Business Analyst,Bayfields Opticians and Audiologists,https://uk.linkedin.com/company/bayfields-opticians,"Esholt, England, UK",,2024-01-27,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3810627735,linkedin,Database Marketing Analyst,Jet2.com and Jet2holidays,https://uk.linkedin.com/company/jet2,"Leeds, England, UK",,2024-01-25,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3792987333,linkedin,Marketing Data Analyst Job,Armstrong World Industries,https://www.linkedin.com/company/armstrong-world-industries,"Lancaster, PA",,2024-01-25,,,,,,,,,
https://www.linkedin.com/jobs/view/3809660853,linkedin,Business Analyst,Jet2.com and Jet2holidays,https://uk.linkedin.com/company/jet2,"Leeds, England, UK",,2024-01-24,,,,,,,Be an early applicant,,
